Authors,Title,Year,Cited by,Link,Index Keywords
"Jin Y., Telebakemi E., Berges M., Soibelman L.","A time-frequency approach for event detection in non-intrusive load monitoring",2011,19,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959569682&doi=10.1117%2f12.884385&partnerID=40&md5=85daef0cd56c1a11d9ddcd092f8aeed1","Average power; Change-points; Chi-Squared test; Closed form; Commercial building; Continuous monitoring; Conventional detectors; Data windows; Decision threshold; Detection threshold; Electromechanical systems; Event detection; First harmonic; Generalized likelihood ratio detectors; Generalized Likelihood Ratio Test; Goodness of fit; Nonintrusive load monitoring; Nonstationary; Power data; Power signals; Residential building; Robust detection; Short time Fourier transform; Short time Fourier transforms; Spectral components; Time varying; Time-frequency approach; Transient signal; Voltage waveforms; Algorithms; Continuous time systems; Dynamic loads; Fourier transforms; Office buildings; Sensors; Signal detection"
"Bergman D.C., Jin D., Juen J.P., Tanaka N., Gunter C.A., Wright A.K.","Distributed non-intrusive load monitoring",2011,31,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957973418&doi=10.1109%2fISGT.2011.5759180&partnerID=40&md5=1b2435b21be56e1b88a1e73356de1d0d","Air conditioners; Backend system; Demand response; Direct control; Direct load control; Electric power; Electric water heaters; Electricity prices; Electricity service; Non-intrusive; Nonintrusive load monitoring; Resource-constrained; Smart grid; Smart meters; Trust assumptions; Electricity; Innovation; Water heaters; Wattmeters; Smart power grids"
"Ojala T., Närhi P., Leppänen T., Ylioja J., Sasin S., Shelby Z.","UBI-AMI: Real-time metering of energy consumption at homes using multi-hop IP-based wireless sensor networks",2011,2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956209473&doi=10.1007%2f978-3-642-20754-9_28&partnerID=40&md5=61ae55d04effed0e3f6ee04781d8204c","6LoWPAN; Central servers; Embedded internet; Energy consumption; IEEE 802.15.4; Multihop; Power Consumption; Real-time metering; User evaluations; Energy utilization; Internet protocols; Sensors; Standards; Ubiquitous computing; User interfaces; Wireless sensor networks"
"Frank S., Gentile Polese L., Rader E., Sheppy M., Smith J.","Extracting operating modes from building electrical load data",2011,10,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956111220&doi=10.1109%2fGREEN.2011.5754872&partnerID=40&md5=9a4cfa5f1b5eb2f3a2f5b648361f2a2a","clustering; Clustering methods; Electrical energy; Electrical load; Electricity-consumption; Empirical techniques; Energy saving; In-buildings; miscellaneous electrical loads; mode extraction; Operating modes; System behaviors; system characterization; Heuristic methods; Technology; Electric loads"
"Niu L., Jia H.","Transient event detection algorithm for non-intrusive load monitoring",2011,25,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959750912&partnerID=40&md5=7ed78694298000b0206a2b778f808ff5","Cumulative sum algorithms; Cumulative sums; Load identification; Load monitoring; Nonintrusive load monitoring; Simulation result; Sliding Window; Steady state loads; Transient data; Transient event detection; Transients; Clustering algorithms"
"Spagnolli A., Corradi N., Gamberini L., Hoggan E., Jacucci G., Katzeff C., Broms L., Jonsson L.","Eco-feedback on the go: Motivating energy awareness",2011,47,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956348657&doi=10.1109%2fMC.2011.125&partnerID=40&md5=7255156a41025fe6c9f8b43468725694",
"Figueiredo M.B., De Almeida A., Ribeiro B.","An experimental study on electrical signature identification of non-intrusive load monitoring (NILM) systems",2011,44,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955089759&doi=10.1007%2f978-3-642-20267-4_4&partnerID=40&md5=7fbf7bfe54de781c74a46fb185a99d45","Active and reactive power; Computational experiment; Electric signal; Electrical load; Electrical services; Electrical signal; Electrical signatures; End-uses; Experimental studies; Feature extraction and classification; k-nearest neighbors; non-intrusive load monitoring; Power factors; Residential sectors; Signal parameters; Signal processing technique; Single point; steady-state signatures; Algorithms; Electric power factor; Signal processing; Support vector machines; Feature extraction"
"Zeifman M., Roth K.","Nonintrusive appliance load monitoring: Review and outlook",2011,43,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952921449&doi=10.1109%2fICCE.2011.5722560&partnerID=40&md5=d00a5d854f9d595cc74cf7badea198ea","Consumer systems; Energy saving; Home energy managements; Non-intrusive appliance load monitoring; Residential building; Energy management; Consumer electronics"
"Zeifman M., Roth K.","Nonintrusive appliance load monitoring: Review and outlook",2011,446,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953198933&doi=10.1109%2fTCE.2011.5735484&partnerID=40&md5=2c317f2ac1a34e2345dd834d4dba2a85","Consumer systems; Current waveforms; Disaggregation; Energy saving; Home energy managements; Non-intrusive appliance load monitoring; Power Consumption; Residential building; signal features; Single-point measurement; Algorithms; Monitoring; Energy management"
"Inagaki S., Egami T., Suzuki T., Nakamura H., Ito K.","Nonintrusive appliance load monitoring based on integer programming",2011,9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78349236917&doi=10.1002%2feej.21040&partnerID=40&md5=fba8051cff3c97fe28de2bfc42d496f5","Electric appliances; Electric load management; Quadratic programming; Commercial software; Computational burden; Integer variables; Multiple modes; Non-intrusive appliance load monitoring; Nonintrusive load monitoring; Operating condition; Quadratic programming problems; Integer programming"
"Chahine K., El Khamlichi Drissi K., Pasquier C., Kerroum K., Faure C., Jouannet T., Michou M.","Electric load disaggregation in smart metering using a novel feature extraction method and supervised classification",2011,19,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960235828&doi=10.1016%2fj.egypro.2011.05.072&partnerID=40&md5=1d062419bb30f47a5221c01f8eae9634","Classification (of information); Climate change; Energy efficiency; Extraction; Feature extraction; Smart meters; Supervised learning; Classification accuracy; Electrical consumption; Feature extraction methods; Matrix pencil method; Non-intrusive appliance load monitoring; Power savings; Supervised classification; Supervised learning methods; Electric load management"
"Marchiori A., Hakkarinen D., Han Q., Earle L.","Circuit-level load monitoring for household energy management",2011,100,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650865104&doi=10.1109%2fMPRV.2010.72&partnerID=40&md5=fd95d940bdd80d40627a55031f9570b2","Energy measurements; Energy saving; Load monitoring; NILM; Nonintrusive load monitoring; Pervasive computing; Algorithms; Energy conservation; Energy utilization; Human computer interaction; Instruments; Management; Monitoring; Power generation; Ubiquitous computing"
"Bergman D., Jin D., Juen J., Tanaka N., Gunter C., Wright A.","Nonintrusive load-shed verification",2011,28,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650862191&doi=10.1109%2fMPRV.2010.71&partnerID=40&md5=2c5cbed1dbe0a57394dc326d4597e00c","Cyber security; Demand response; Demand side managements; Nonintrusive load monitoring; Pervasive computing; Smart grid; Automobiles; Electric vehicles; Water heaters; Wattmeters; Ubiquitous computing"
